 ,Label,Length,Nuclear Count
1,Neuronal1.tif,9889.574,16
2,Neuronal10.tif,3785.897,48
3,Neuronal11.tif,3099.468,33
4,Neuronal12.tif,3625.743,45
5,Neuronal13.tif,10958.938,14
6,Neuronal14.tif,11177.011,17
7,Neuronal15.tif,12715.194,21
8,Neuronal16.tif,13799.128,18
9,Neuronal17.tif,9186.447,17
10,Neuronal18.tif,6915.667,56
11,Neuronal19.tif,11012.803,54
12,Neuronal2.tif,14034.603,27
13,Neuronal20.tif,9046.939,43
14,Neuronal21.tif,20981.28,93
15,Neuronal22.tif,13573.672,90
16,Neuronal23.tif,11694.44,82
17,Neuronal24.tif,12306.367,74
18,Neuronal25.tif,16436.655,76
19,Neuronal26.tif,7653.99,49
20,Neuronal27.tif,16169.761,87
21,Neuronal28.tif,19127.96,85
22,Neuronal29.tif,16482.611,86
23,Neuronal3.tif,6930.561,27
24,Neuronal30.tif,18774.136,93
25,Neuronal31.tif,14328.017,50
26,Neuronal32.tif,16924.069,74
27,Neuronal33.tif,15284.404,91
28,Neuronal34.tif,16576.873,74
29,Neuronal35.tif,11826.006,56
30,Neuronal36.tif,10086.059,55
31,Neuronal37.tif,14602.455,68
32,Neuronal38.tif,16997.62,80
33,Neuronal39.tif,14478.09,65
34,Neuronal4.tif,12468.42,33
35,Neuronal40.tif,18098.387,78
36,Neuronal5.tif,12124.986,37
37,Neuronal6.tif,14565.284,44
38,Neuronal7.tif,5742.697,35
39,Neuronal8.tif,11413.247,28
40,Neuronal9.tif,4836.776,57
